variant_id,variant_label,seed,checkpoint_index,iteration,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,checkpoint_kind,is_initial_policy_evaluation,is_final_policy_evaluation,algorithm_id,algorithm_label,solver_iteration,learning_rate,policy_loss,value_loss,value_test_loss,regret_loss_player_0,regret_loss_player_1,average_policy_buffer_size,regret_buffer_size_player_0,regret_buffer_size_player_1,regret_replay_stream_count_player_0,regret_replay_retention_fraction_player_0,regret_replay_unique_infosets_player_0,regret_replay_samples_per_infoset_min_player_0,regret_replay_samples_per_infoset_mean_player_0,regret_replay_samples_per_infoset_max_player_0,regret_replay_samples_per_infoset_cv_player_0,regret_replay_stored_weight_mean_player_0,regret_replay_stream_count_player_1,regret_replay_retention_fraction_player_1,regret_replay_unique_infosets_player_1,regret_replay_samples_per_infoset_min_player_1,regret_replay_samples_per_infoset_mean_player_1,regret_replay_samples_per_infoset_max_player_1,regret_replay_samples_per_infoset_cv_player_1,regret_replay_stored_weight_mean_player_1,regret_storage_bytes_player_0,regret_storage_bytes_player_1,regret_storage_bytes_total,raw_regret_target_variance_player_0,raw_regret_target_variance_player_1,processed_regret_target_variance_player_0,processed_regret_target_variance_player_1,processed_regret_target_abs_mean_player_0,processed_regret_target_abs_mean_player_1,regret_target_standardization_mean_player_0,regret_target_standardization_mean_player_1,regret_target_standardization_scale_player_0,regret_target_standardization_scale_player_1,regret_target_processing_mean_player_0,regret_target_processing_mean_player_1,regret_target_processing_scale_player_0,regret_target_processing_scale_player_1,regret_target_clip_fraction_player_0,regret_target_clip_fraction_player_1,regret_target_sign_flip_fraction_player_0,regret_target_sign_flip_fraction_player_1,raw_regret_target_positive_fraction_player_0,raw_regret_target_positive_fraction_player_1,processed_regret_target_positive_fraction_player_0,processed_regret_target_positive_fraction_player_1,regret_target_sample_count_player_0,regret_target_bellman_residual_mean_player_0,regret_target_bellman_residual_abs_mean_player_0,regret_target_bellman_residual_rmse_player_0,regret_target_policy_weighted_target_abs_mean_player_0,regret_target_all_legal_targets_negative_fraction_player_0,regret_target_sample_count_player_1,regret_target_bellman_residual_mean_player_1,regret_target_bellman_residual_abs_mean_player_1,regret_target_bellman_residual_rmse_player_1,regret_target_policy_weighted_target_abs_mean_player_1,regret_target_all_legal_targets_negative_fraction_player_1,peak_rss_mb,value_buffer_size,value_test_buffer_size,episode,average_policy_loss,baseline_loss_player_0,baseline_loss_player_1,checkpoint_target_nodes
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,0,0,0.0,1.1236181259155273,3.9514211719295407,-0.5328574671891152,0.4472510431111152,initial_untrained_policy,True,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,1,1.0,12104.0,54.061148166656494,3.180616504889525,1.0738332624388232,1.159439686516823,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",2.0,0.001,0.0002470338367857039,15.991803169250488,43.18820571899414,0.21461546421051025,0.15496277809143066,2137.0,1278.0,994.0,1278.0,1.0,238.0,1.0,5.369747899159663,89.0,2.626839229020058,,994.0,1.0,193.0,1.0,5.150259067357513,71.0,2.1661303123360733,,0.0,0.0,0.0,7.225454807281494,8.49045181274414,1.0000001192092896,1.0,0.5665993094444275,0.6127851605415344,0.27052584290504456,-0.08971910178661346,2.688020706176758,2.9138379096984863,0.27052584290504456,-0.08971910178661346,2.688020706176758,2.9138379096984863,0.0,0.0,0.08095665751956403,0.10021115643205121,0.5116192717850209,0.5563366478681564,0.43066261321306226,0.6560450091958046,1278.0,-0.036945328512662065,0.7589431450217018,1.392173500749664,0.7589431450217018,0.1189358372456964,994.0,0.056436850036381686,0.9409373531265085,1.6717040199335498,0.9409373531265085,0.08148893360160966,866.5546875,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,2,11.0,132418.0,326.5204372406006,1.04532657502501,-0.07483748163411497,0.01076894244388503,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",12.0,0.001,0.04205704852938652,6.5002288818359375,4.492665767669678,0.44844192266464233,0.4339776337146759,23044.0,13140.0,9757.0,13140.0,1.0,453.0,1.0,29.00662251655629,949.0,3.686528254632131,,9757.0,1.0,407.0,1.0,23.972972972972972,628.0,3.3116850224057677,,0.0,0.0,0.0,6.492364406585693,6.889060974121094,1.0000001192092896,1.0,0.5651439428329468,0.6332495808601379,-0.3705563545227051,-0.26909729838371277,2.5480117797851562,2.624701976776123,-0.3705563545227051,-0.26909729838371277,2.5480117797851562,2.624701976776123,0.0,0.0,0.13622774371877314,0.11884158043190837,0.45609007894992826,0.460795988291502,0.5923178222775459,0.5796375688910484,1116.0,0.06828907505382087,0.6956331346160353,1.4299756722964834,0.6956331346160353,0.2222222222222222,817.0,-0.08911873510594524,1.0000966314654565,2.108837572225931,1.0000966314654565,0.18727050183598531,1283.53515625,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,3,21.0,245842.0,591.7168967723846,0.7810462599808133,-0.10742666704347925,0.021820242965479256,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",22.0,0.001,0.04323993995785713,4.488115310668945,5.415339469909668,0.4185265600681305,0.48015016317367554,43197.0,24238.0,18050.0,24238.0,1.0,466.0,1.0,52.012875536480685,1793.0,3.896725714800233,,18050.0,1.0,430.0,1.0,41.97674418604651,1216.0,3.4876342595982868,,0.0,0.0,0.0,3.557523012161255,5.213517665863037,1.0,1.0,0.5872802734375,0.6342200040817261,-0.2509447932243347,-0.4588301479816437,1.8861397504806519,2.2833127975463867,-0.2509447932243347,-0.4588301479816437,1.8861397504806519,2.2833127975463867,0.0,0.0,0.14277202812954784,0.13930236924439668,0.45450192570686343,0.4379672560095787,0.5972739550471305,0.577269626557827,1171.0,-0.0890856343541482,0.6359255634446439,1.6309540467592498,0.6359255634446437,0.16737830913748933,823.0,-0.322432914626936,0.8487233650447047,1.9981681372354163,0.8487233650447047,0.23572296476306198,1748.828125,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,4,31.0,363522.0,865.9594609737396,0.7317423672268574,-0.08781995482858579,0.002213530750585793,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",32.0,0.001,0.04198942705988884,7.821135520935059,12.067024230957031,0.4563102722167969,0.4003817141056061,50000.0,35098.0,26977.0,35098.0,1.0,467.0,1.0,75.15631691648822,2629.0,3.9926884204582316,,26977.0,1.0,443.0,1.0,60.896162528216706,1964.0,3.627936441331791,,0.0,0.0,0.0,3.7152163982391357,6.952899932861328,0.9999998807907104,1.000000238418579,0.6070488095283508,0.5790533423423767,-0.33248236775398254,-0.3762809634208679,1.9274896383285522,2.6368350982666016,-0.33248236775398254,-0.3762809634208679,1.9274896383285522,2.6368350982666016,0.0,0.0,0.15904638040810823,0.1371678862348199,0.45302484557032585,0.44088194757699967,0.6120712253451347,0.5780498370528221,1052.0,0.06642209452486533,0.4819608377836436,1.1481937732185945,0.48196083778364396,0.24524714828897337,854.0,-0.3142363454633472,0.9546614842977933,1.669597332069137,0.9546614842977933,0.14285714285714285,2218.734375,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,5,41.0,480638.0,1132.9532136917114,0.7123743707196062,-0.104530328617669,0.01892390453966901,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",42.0,0.001,0.04177757725119591,7.062734603881836,3.28489351272583,0.5067651271820068,0.36012518405914307,50000.0,46030.0,35685.0,46030.0,1.0,467.0,1.0,98.56531049250535,3478.0,4.029963271543575,,35685.0,1.0,450.0,1.0,79.3,2600.0,3.7023065544648865,,0.0,0.0,0.0,5.271209239959717,5.382513523101807,1.0000001192092896,1.0000001192092896,0.5745396018028259,0.617846667766571,-0.35413914918899536,-0.5650888681411743,2.2959113121032715,2.3200244903564453,-0.35413914918899536,-0.5650888681411743,2.2959113121032715,2.3200244903564453,0.0,0.0,0.16047156497836113,0.14933798592537642,0.4536723144352436,0.4382628172636032,0.6141438803076744,0.5876008048653603,1082.0,0.06332177512515415,0.5149619087913588,1.0960980442615054,0.5149619087913588,0.15711645101663585,821.0,0.09524565739177912,0.704823463054339,1.287188143594124,0.704823463054339,0.39585870889159563,2620.32421875,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,6,51.0,596953.0,1407.861001253128,0.6833353382346928,-0.07704771787531647,0.008558706202683522,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",52.0,0.001,0.03634611889719963,6.11760139465332,10.416112899780273,0.30931586027145386,0.41929012537002563,50000.0,50000.0,44402.0,56788.0,0.880467704444601,468.0,1.0,106.83760683760684,3779.0,4.0631058445479855,,44402.0,1.0,451.0,1.0,98.45232815964523,3239.0,3.713107185711652,,0.0,0.0,0.0,5.180603504180908,4.334685802459717,1.0,1.0000003576278687,0.5675180554389954,0.604924738407135,-0.4072965085506439,-0.4080502986907959,2.2760939598083496,2.0819907188415527,-0.4072965085506439,-0.4080502986907959,2.2760939598083496,2.0819907188415527,0.0,0.0,0.16260660151019693,0.14188775876536966,0.44967916861176493,0.44416979268193246,0.6122857707738877,0.5860575518012047,1118.0,0.1927358950733587,0.5513656610740817,1.4419692545836629,0.551365661074082,0.2298747763864043,829.0,-0.04154424385551571,0.8193663417729702,1.661618674189517,0.8193663417729702,0.17249698431845598,3047.3515625,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,7,61.0,713010.0,1679.0321393013,0.6692102604168708,-0.09151653233633159,0.0059101082583315895,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",62.0,0.001,0.03448472172021866,4.20672607421875,7.386157035827637,0.30843067169189453,0.4820472002029419,50000.0,50000.0,50000.0,67456.0,0.7412239089184061,466.0,1.0,107.29613733905579,3871.0,4.091662846325439,,53096.0,0.9416905228265783,453.0,1.0,110.37527593818984,3632.0,3.714569224338133,,0.0,0.0,0.0,3.2776613235473633,4.8311285972595215,1.0,1.0000001192092896,0.5982597470283508,0.6428285241127014,-0.3898118734359741,-0.3616759777069092,1.8104312419891357,2.1979827880859375,-0.3898118734359741,-0.3616759777069092,1.8104312419891357,2.1979827880859375,0.0,0.0,0.1600452501140535,0.1486605866625905,0.45180597230792047,0.4368729628622532,0.6118512228131294,0.5855335539579392,1044.0,-0.16132508527971112,0.5447861656751416,1.1365318374572881,0.5447861656751414,0.20402298850574713,822.0,-0.19480545411162756,0.8610358084964691,1.9787114849041245,0.8610358084964691,0.3102189781021898,3460.47265625,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,8,71.0,827701.0,1945.053227186203,0.6531160340561257,-0.11234708990571263,0.02674066582771263,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",72.0,0.001,0.03384016826748848,5.318428993225098,8.491323471069336,0.3731778860092163,0.4758952856063843,50000.0,50000.0,50000.0,77976.0,0.6412229403919154,466.0,1.0,107.29613733905579,3867.0,4.123055181391586,,61623.0,0.8113853593625756,453.0,1.0,110.37527593818984,3541.0,3.6896569431859105,,0.0,0.0,0.0,2.6083643436431885,4.2990946769714355,1.0,1.0,0.6051977872848511,0.6646909117698669,-0.23130905628204346,-0.5264910459518433,1.6150431632995605,2.073425769805908,-0.23130905628204346,-0.5264910459518433,1.6150431632995605,2.073425769805908,0.0,0.0,0.15355403494089842,0.1531990697234869,0.4542040871083736,0.43377849787473677,0.6077581194043159,0.5869775658845902,1028.0,-0.007199274316363302,0.3695996597964912,0.7819678116037756,0.36959965979649106,0.188715953307393,838.0,0.11813559902101577,0.8279536625851915,1.574933202202928,0.8279536625851915,0.22673031026252982,3915.83984375,0.0,0.0,,,,,
escher_exp28,"ESCHER (Experiment 28, 5x nodes)",0,9,81.0,942635.0,2202.4008271694183,0.6534604585576234,-0.13456154187074798,0.048955117792747985,outer_iteration,False,False,escher_exp28,"ESCHER (Experiment 28, 5x nodes)",82.0,0.001,0.032642390578985214,3.9307963848114014,7.6080732345581055,0.32346317172050476,0.3903912901878357,50000.0,50000.0,50000.0,88548.0,0.564665492162443,465.0,1.0,107.52688172043011,3916.0,4.146123201739186,,70219.0,0.7120579900027059,456.0,1.0,109.64912280701755,3471.0,3.671050025265251,,0.0,0.0,0.0,2.7713353633880615,4.9687066078186035,0.9999998807907104,0.9999998807907104,0.6171457171440125,0.6323630809783936,-0.26451176404953003,-0.4033415615558624,1.664732813835144,2.2290596961975098,-0.26451176404953003,-0.4033415615558624,1.664732813835144,2.2290596961975098,0.0,0.0,0.15249732241034508,0.15969120569527148,0.45162464812397957,0.4308668324351311,0.604121969640255,0.5905580404400825,1051.0,-0.06913513929242464,0.37609360189693214,0.8720674508032308,0.37609360189693203,0.20266412940057088,828.0,0.031568450264530104,0.8080726785873221,1.459676068173228,0.8080726785873221,0.21739130434782608,4329.82421875,0.0,0.0,,,,,
