algorithm_id,algorithm_label,variant_id,variant_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,average_policy_loss,regret_loss_player_0,regret_loss_player_1,baseline_loss_player_0,baseline_loss_player_1,checkpoint_kind,checkpoint_target_nodes,is_initial_policy_evaluation,is_final_policy_evaluation,result_source,calibration_loss,unbiased_estimator_sample_count,control_variate_beta_mean,control_variate_beta_min,control_variate_beta_max,predicted_residual_variance_mean,q_ensemble_disagreement_mean,q_residual_abs_mean,control_residual_abs_mean,importance_correction_abs_mean,policy_weighted_advantage_abs_mean,full_support_sampling_min_probability,calibration_target_version,q_ensemble_target_version_min,q_ensemble_target_version_max,prediction_gate_player_0,prediction_gate_player_1,prediction_gate_next_player_0,prediction_gate_next_player_1,predictor_relative_skill_player_0,predictor_relative_skill_player_1,predictor_holdout_mse_player_0,predictor_holdout_mse_player_1,predictor_zero_mse_player_0,predictor_zero_mse_player_1,q_fold_0_replay_size,q_fold_1_replay_size,q_fold_2_replay_size
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,13,12,240000,1865203.0,2762.170853795,0.38465350322223807,-0.05158606450714809,0.03402035957085191,0.03291064500808716,0.12299584597349167,0.13873125612735748,0.00729581993073225,0.007211850956082344,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,14,13,260000,2023886.0,2990.795162989,0.3602907819808846,-0.04913742057042034,0.03646900350757966,0.02914980985224247,0.10175324231386185,0.17482154071331024,0.006418067030608654,0.006753998342901468,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,15,14,280000,2181607.0,3215.7880278390003,0.30053394476149564,-0.060841346355615555,0.02476507772238444,0.02741035260260105,0.1195903941988945,0.14791445434093475,0.006962331477552652,0.006025895942002535,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,16,15,300000,2339486.0,3440.348981083,0.29665232426866706,-0.07700227487907602,0.00860414919892398,0.022425970062613487,0.2091001272201538,0.1316201388835907,0.006106245331466198,0.006741627585142851,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,17,16,320000,2499326.0,3668.573925969,0.26185601879357734,-0.0824155389608259,0.0031908851171740943,0.022348089143633842,0.18803822994232178,0.19163213670253754,0.006585340015590191,0.006590093020349741,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,18,17,340000,2660612.0,3896.373906788,0.25436717131031505,-0.09019618191595219,0.004589757837952194,0.019758516922593117,0.14363813400268555,0.15278467535972595,0.00661667063832283,0.00481876265257597,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,19,18,360000,2821865.0,4122.923322804,0.2581545983019993,-0.0880998370481201,0.0024934129701201097,0.01731318235397339,0.16009189188480377,0.16338969767093658,0.005728596821427345,0.005804585758596659,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,20,19,380000,2981101.0,4348.655745224,0.2763743763395751,-0.09107626522090928,0.005469841142909285,0.01843876950442791,0.20099078118801117,0.15477733314037323,0.005849182605743408,0.005458812229335308,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,21,20,400000,3139798.0,4572.337203932,0.23984497025441023,-0.08813257375225156,0.0025261496742515627,0.021136170253157616,0.1699506789445877,0.11971447616815567,0.007059460040181875,0.00608796626329422,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vr_deep_dcfr_plus,VR-DeepDCFR+,vr_deep_dcfr_plus,VR-DeepDCFR+,0,22,21,420000,3297699.0,4799.426336482,0.22658117075004794,-0.08576915829789952,0.00016273421989952686,0.018849743530154228,0.17705368995666504,0.1224859431385994,0.007788424845784903,0.005883560050278902,outer_iteration,,False,False,experiment_7_new_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,
