algorithm_id,algorithm_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,is_final_policy_evaluation
escher_exp28,ESCHER (Experiment 28),0,0,1.0,,12104.0,62.86838221549988,3.180616504889525,1.0738332624388232,1.159439686516823,False
escher_exp28,ESCHER (Experiment 28),0,1,11.0,,132418.0,397.9066331386566,1.04532657502501,-0.07483748163411497,0.01076894244388503,False
escher_exp28,ESCHER (Experiment 28),0,2,21.0,,245842.0,712.893524646759,0.7810462599808133,-0.10742666704347925,0.021820242965479256,False
escher_exp28,ESCHER (Experiment 28),0,3,31.0,,363522.0,1042.7675566673279,0.7317423672268574,-0.08781995482858579,0.002213530750585793,False
escher_exp28,ESCHER (Experiment 28),0,4,41.0,,480638.0,1367.1214780807495,0.7123743707196062,-0.104530328617669,0.01892390453966901,False
escher_exp28,ESCHER (Experiment 28),0,5,51.0,,596953.0,1695.0339601039886,0.6833353382346928,-0.07704771787531647,0.008558706202683522,False
escher_exp28,ESCHER (Experiment 28),0,6,61.0,,713010.0,2020.6351506710052,0.6692102604168708,-0.09151653233633159,0.0059101082583315895,False
escher_exp28,ESCHER (Experiment 28),0,7,71.0,,827701.0,2337.91045999527,0.6531160340561257,-0.11234708990571263,0.02674066582771263,False
escher_exp28,ESCHER (Experiment 28),0,8,81.0,,942635.0,2663.775442838669,0.6534604585576234,-0.13456154187074798,0.048955117792747985,False
escher_exp28,ESCHER (Experiment 28),0,9,80,,942635.0,2663.775442838669,0.6606614980890859,-0.14012882983362926,0.054522405755629264,True
escher_exp28,ESCHER (Experiment 28),1,0,1.0,,10681.0,59.21774363517761,4.6054347021757795,0.639155941273098,0.7247623653510981,False
escher_exp28,ESCHER (Experiment 28),1,1,11.0,,132913.0,404.99562096595764,1.3256895672403752,-0.12093907830833187,0.03533265423033187,False
escher_exp28,ESCHER (Experiment 28),1,2,21.0,,249952.0,733.8621180057526,1.0321343082145529,-0.17892715276085966,0.09332072868285966,False
escher_exp28,ESCHER (Experiment 28),1,3,31.0,,365920.0,1058.4791259765625,0.9152779802069292,-0.16660198421257394,0.08099556013457394,False
escher_exp28,ESCHER (Experiment 28),1,4,41.0,,479838.0,1378.2980508804321,0.883756989405203,-0.14716088729116011,0.06155446321316012,False
escher_exp28,ESCHER (Experiment 28),1,5,51.0,,592497.0,1695.433574438095,0.9418909563898011,-0.14200049818451232,0.05639407410651233,False
