algorithm_id,algorithm_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,average_policy_loss,regret_loss_player_0,regret_loss_player_1,baseline_loss_player_0,baseline_loss_player_1,checkpoint_kind,checkpoint_target_nodes,is_initial_policy_evaluation,is_final_policy_evaluation,result_source,calibration_loss,unbiased_estimator_sample_count,control_variate_beta_mean,control_variate_beta_min,control_variate_beta_max,predicted_residual_variance_mean,q_ensemble_disagreement_mean,q_residual_abs_mean,control_residual_abs_mean,importance_correction_abs_mean,policy_weighted_advantage_abs_mean,full_support_sampling_min_probability,calibration_target_version,q_ensemble_target_version_min,q_ensemble_target_version_max,prediction_gate_player_0,prediction_gate_player_1,prediction_gate_next_player_0,prediction_gate_next_player_1,predictor_relative_skill_player_0,predictor_relative_skill_player_1,predictor_holdout_mse_player_0,predictor_holdout_mse_player_1,predictor_zero_mse_player_0,predictor_zero_mse_player_1,q_fold_0_replay_size,q_fold_1_replay_size,q_fold_2_replay_size,q_lifetime_seen_count,q_fold_0_lifetime_seen_count,q_fold_1_lifetime_seen_count,q_fold_2_lifetime_seen_count
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,0,0,0,0.0,0.7364044580000098,2.373611111111111,-0.078125,0.007481424077999996,,,,,,initial_untrained_policy,,True,False,experiment_13_new_run,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,1,1,1532,10000.0,30.274875121999997,1.0070352306486212,0.006773903845688753,0.09238032792368875,3.082966770762141e-08,,,,,early_node_threshold,10000,False,False,experiment_13_new_run,,4624.0,1.0,1.0,1.0,1.0000100135803223,0.0,0.06983630556294954,0.06983630556294954,0.10475445834442328,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1550.0,1526.0,1548.0,4624.0,1550.0,1526.0,1548.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,2,1,20000,129605.0,418.720498734,3.9998844186791316,1.000007137070458,1.0856135611484579,1.9813386487044227e-08,0.007003729697316885,0.22124624252319336,8.560290728117556e-07,8.560290728117556e-07,outer_iteration,,False,False,experiment_13_new_run,-2.64475154876709,61189.0,1.0,1.0,1.0,1.0000100135803223,0.0,0.13272999043319658,0.13272999043319658,0.25201990805294044,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01391579769551754,0.32613009214401245,0.01391579769551754,0.32613009214401245,20348.0,20381.0,20460.0,61189.0,20348.0,20381.0,20460.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,3,2,40000,293602.0,841.693435293,5.7590362598405145,1.5720418051009188,1.6576482291789187,0.14728005230426788,0.34429946541786194,1.312377691268921,0.0010023592427993815,0.0010023592427993815,outer_iteration,,False,False,experiment_13_new_run,-1.4548903703689575,91232.0,1.0,1.0,1.0,0.037439245343318814,0.001549090721305511,0.42863135249438994,0.42863135249438994,0.7603887508584235,6.2931786227879196e-18,0.08785667876403264,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-0.0030065295500179,-0.02370212151105977,0.7055791020393372,1.949512004852295,0.7030887007713318,1.8364152908325195,50746.0,50729.0,50946.0,152421.0,50746.0,50729.0,50946.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,4,3,60000,472738.0,1281.945728792,3.8488052079705906,-0.2889274537703095,0.20332102969230947,0.09266520291566849,3.143315553665161,0.7029088139533997,0.000451148235394309,0.000451148235394309,outer_iteration,,False,False,experiment_13_new_run,-1.095218300819397,101035.0,1.0,1.0,1.0,1.6132630618112973,0.002139954665798347,0.3268393750610727,0.3268393750610727,0.6254587870780113,1.3319504912081393e-17,0.07949705694827199,3.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.06546740075219648,-0.026673342763011698,4.032620429992676,0.7938401103019714,3.741133689880371,0.7607876658439636,84450.0,84289.0,84717.0,253456.0,84450.0,84289.0,84717.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,5,4,80000,649706.0,1715.953202584,2.88918227002699,0.4018772901757835,0.4874837142537835,0.06200096011161804,0.6059438586235046,0.2575998604297638,0.0017624923881764214,0.0017624923881764214,outer_iteration,,False,False,experiment_13_new_run,-1.141794204711914,101127.0,1.0,1.0,1.0,2.484211297491866,0.002227102362759923,0.23313010165241874,0.23313010165241874,0.45407268737436224,1.1818460713556576e-17,0.09575609921927046,4.0,4.0,4.0,0.0,0.0,0.0,0.0,-0.07363457854711086,-0.02902050374558418,0.9693587422370911,0.40130776166915894,0.8721588850021362,0.37961235642433167,118209.0,117935.0,118439.0,354583.0,118209.0,117935.0,118439.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,6,5,100000,813978.0,2141.860523453,1.6490739019934753,0.17070453131829894,0.25631095539629895,0.0479252003133297,0.179221048951149,0.09496989101171494,0.009243065801759561,0.009243065801759561,outer_iteration,,False,False,experiment_13_new_run,-1.214101791381836,89825.0,1.0,1.0,1.0,2.7616852036684927,0.0018595779156445936,0.16882697947787365,0.16882697947787365,0.33381194559829647,1.1768376746755247e-17,0.08416357454950633,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-0.07182024026015643,-0.030770971152687565,0.25742143392562866,0.15465430915355682,0.24765272438526154,0.14250360429286957,148172.0,147883.0,148353.0,444408.0,148172.0,147883.0,148353.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,7,6,120000,981922.0,2565.839159546,1.0741981586028444,0.08431917741974149,0.1699256014977415,0.04154852032661438,0.0744088739156723,0.0756082534790039,0.012597810787459215,0.012597810787459215,outer_iteration,,False,False,experiment_13_new_run,-1.2904170751571655,93266.0,1.0,1.0,1.0,0.044036724893748595,0.0009427488485935825,0.13947467729361782,0.13947467729361782,0.27404055253319476,1.0610194306140521e-17,0.09650912033246499,6.0,6.0,6.0,0.0,0.0,0.0,0.0,-0.06769733398873945,-0.024675692835847807,0.10777916759252548,0.10632503777742386,0.11716405302286148,0.12827827036380768,179184.0,178993.0,179497.0,537674.0,179184.0,178993.0,179497.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,8,7,140000,1153243.0,2992.589310892,0.7525011557345541,-0.022762827287105658,0.06284359679089434,0.03353003412485123,0.057164568454027176,0.06770243495702744,0.01385948279251655,0.01385948279251655,outer_iteration,,False,False,experiment_13_new_run,-1.3914159536361694,95367.0,1.0,1.0,1.0,0.03711112738033162,0.0005197505266707482,0.12379075510416679,0.12379075510416679,0.23385332520100222,9.557939887881242e-18,0.08672616367156577,7.0,7.0,7.0,0.0,0.0,0.0,0.0,-0.06309954730921397,-0.01847715247536419,0.08682338893413544,0.08879994601011276,0.09847452491521835,0.11046422272920609,210859.0,210836.0,211346.0,633041.0,210859.0,210836.0,211346.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,9,8,160000,1324676.0,3418.967848902,0.612508983404634,-0.06094699383443836,0.02465943024356164,0.029506651684641838,0.046141352504491806,0.05617189034819603,0.012632740971942743,0.012632740971942743,outer_iteration,,False,False,experiment_13_new_run,-1.4785852432250977,95082.0,1.0,1.0,1.0,0.03398260314651826,0.0003042869074826725,0.11379995430707134,0.11379995430707134,0.22432247630349553,9.76661257469937e-18,0.08695875694749092,8.0,8.0,8.0,0.0,0.0,0.0,0.0,-0.05858762054749622,-0.013086257772320087,0.07447673380374908,0.07775824517011642,0.0856374204158783,0.09559813886880875,242552.0,242596.0,242975.0,728123.0,242552.0,242596.0,242975.0
