algorithm_id,algorithm_label,seed,final_exploitability,best_exploitability,final_window_mean_exploitability,final_policy_value,final_policy_value_error,final_nash_conv_recomputed,final_nodes_touched,final_wall_clock_seconds,num_iterations_completed,num_intermediate_points,exploitability_normalised_auc_nodes,nodes_to_exploitability_threshold,seconds_to_exploitability_threshold,target_nodes_touched,node_budget_delta,node_budget_relative_delta,final_average_policy_buffer_size,final_advantage_buffer_size_player_0,final_advantage_buffer_size_player_1,final_history_value_buffer_size,final_lifetime_q_seen_count,result_source,final_calibration_loss,final_unbiased_estimator_sample_count,final_control_variate_beta_mean,final_control_variate_beta_min,final_control_variate_beta_max,final_predicted_residual_variance_mean,final_q_ensemble_disagreement_mean,final_q_residual_abs_mean,final_control_residual_abs_mean,final_importance_correction_abs_mean,final_policy_weighted_advantage_abs_mean,final_full_support_sampling_min_probability,final_calibration_target_version,final_q_ensemble_target_version_min,final_q_ensemble_target_version_max,final_prediction_gate_player_0,final_prediction_gate_player_1,final_prediction_gate_next_player_0,final_prediction_gate_next_player_1,final_predictor_relative_skill_player_0,final_predictor_relative_skill_player_1,final_predictor_holdout_mse_player_0,final_predictor_holdout_mse_player_1,final_predictor_zero_mse_player_0,final_predictor_zero_mse_player_1,final_q_fold_0_replay_size,final_q_fold_1_replay_size,final_q_fold_2_replay_size,final_q_lifetime_seen_count,final_q_fold_0_lifetime_seen_count,final_q_fold_1_lifetime_seen_count,final_q_fold_2_lifetime_seen_count
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,0,0.1318473228501677,0.1250337213341472,0.138587509378522,-0.09786050761375797,0.012254083535757979,0.2636946457003354,4726645.0,11970.942404771,28,30,0.8945623670606659,,,4700205.0,26440.0,0.005625286556650189,1355629,25078,19063,999999,2605809,experiment_13_new_run,-2.128188371658325,93162.0,1.0,1.0,1.0,0.05615212385315896,8.174383065197778e-05,0.10786441192568566,0.10786441192568566,0.21189430088969904,8.520240148895246e-18,0.082515996473089,28.0,28.0,28.0,0.05746371603468259,0.07535364574817771,0.061140036502950856,0.07816366615301318,0.061140036502950856,0.07816366615301318,0.085115447640419,0.0844428539276123,0.09507624059915543,0.09507281333208084,333333.0,333333.0,333333.0,2605809.0,867859.0,868825.0,869125.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,1,0.16904984320156785,0.15107376699214553,0.17381510367219338,-0.08114809481205909,0.004458329265940905,0.3380996864031357,4866658.0,12375.507636807002,29,31,0.6103734912888178,,,4701540.0,165118.0,0.03511998196335669,1382930,25266,19205,999999,2683066,experiment_13_new_run,-2.0474917888641357,93472.0,1.0,1.0,1.0,0.0694645782079878,9.910885776525376e-05,0.11962393404393627,0.11962393404393627,0.2177430191510671,9.237045439990867e-18,0.08287195710510724,29.0,29.0,29.0,0.10265504296620853,0.09377708180125754,0.09953356458452434,0.09484773467998209,0.09953356458452434,0.09484773467998209,0.10164165496826172,0.08291171491146088,0.10925765335559845,0.09293065220117569,333333.0,333333.0,333333.0,2683066.0,894528.0,894151.0,894387.0
fixed_beta_reservoir_escher,Fixed-Beta Reservoir ESCHER,2,0.12591540896257586,0.12588493064520373,0.13575171132448222,-0.09071510683020814,0.005108682752208146,0.2518308179251517,4840666.0,12390.929102748996,29,31,0.6694329534111043,,,4684695.0,155971.0,0.03329373630513833,1385398,24912,18388,999999,2658315,experiment_13_new_run,-2.1096909046173096,90870.0,1.0,1.0,1.0,0.05015898799756702,7.71827613911611e-05,0.1058097255186199,0.1058097255186199,0.20159362616477153,8.461299854112215e-18,0.08333170745997408,29.0,29.0,29.0,0.09422006561220764,0.06575104539026588,0.09960131656268023,0.06930831937250315,0.09960131656268023,0.06930831937250315,0.07218274474143982,0.07617950439453125,0.08561959862709045,0.08604944497346878,333333.0,333333.0,333333.0,2658315.0,887149.0,885288.0,885878.0
